epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2166.91,1.22107,0.52913,1.32184,0.96627,0.95873,0.97653,0.622,1.39683,0.46922,1.55824,0.000147193,0.000147193,0.000147193
43,2217.87,1.21037,0.51636,1.30948,0.9556,0.96667,0.97473,0.62002,1.3906,0.46669,1.56146,0.000139685,0.000139685,0.000139685
44,2268.52,1.20579,0.5288,1.30756,0.96216,0.96496,0.97473,0.61328,1.39416,0.47777,1.55028,0.000132177,0.000132177,0.000132177
45,2319.31,1.21364,0.52513,1.31425,0.95893,0.96202,0.97573,0.61398,1.4032,0.46363,1.56193,0.00012467,0.00012467,0.00012467
46,2370.2,1.17842,0.51354,1.29691,0.95673,0.96267,0.96844,0.60852,1.41668,0.46927,1.56363,0.000117163,0.000117163,0.000117163
47,2420.85,1.1786,0.50733,1.30694,0.94885,0.96465,0.97226,0.61778,1.40684,0.46507,1.5665,0.000109655,0.000109655,0.000109655
48,2471.61,1.19235,0.51271,1.31016,0.9587,0.97194,0.97531,0.6136,1.41749,0.46782,1.5829,0.000102148,0.000102148,0.000102148
49,2522.58,1.17647,0.50327,1.28474,0.9668,0.96689,0.97699,0.61403,1.41966,0.46562,1.57816,9.464e-05,9.464e-05,9.464e-05
50,2573.13,1.15768,0.49681,1.29281,0.96108,0.95983,0.97475,0.62442,1.3991,0.46507,1.56992,8.71325e-05,8.71325e-05,8.71325e-05
51,2625.63,1.15022,0.43566,1.35674,0.95612,0.96277,0.96799,0.60772,1.4048,0.46097,1.57273,7.9625e-05,7.9625e-05,7.9625e-05
52,2675.69,1.13283,0.42219,1.34787,0.95903,0.96604,0.97164,0.61229,1.42758,0.47031,1.57676,7.21175e-05,7.21175e-05,7.21175e-05
53,2725.62,1.12268,0.41742,1.33737,0.95552,0.96621,0.9728,0.61484,1.41951,0.46803,1.57201,6.461e-05,6.461e-05,6.461e-05
54,2775.68,1.11835,0.4119,1.3299,0.96506,0.96472,0.9758,0.61225,1.40965,0.46561,1.58776,5.71025e-05,5.71025e-05,5.71025e-05
55,2826.03,1.10251,0.41014,1.31749,0.95733,0.96842,0.97322,0.60952,1.42136,0.46513,1.5868,4.9595e-05,4.9595e-05,4.9595e-05
56,2876.33,1.09792,0.40873,1.32879,0.9604,0.96529,0.97161,0.60814,1.42442,0.46246,1.58715,4.20875e-05,4.20875e-05,4.20875e-05
57,2926.56,1.08955,0.40309,1.30999,0.95893,0.96442,0.9714,0.61043,1.43422,0.4634,1.59245,3.458e-05,3.458e-05,3.458e-05
58,2975.62,1.08121,0.40166,1.31239,0.95365,0.96174,0.96972,0.61264,1.42495,0.46022,1.58864,2.70725e-05,2.70725e-05,2.70725e-05
59,3025.89,1.07108,0.39817,1.30641,0.95476,0.96265,0.9691,0.61184,1.42921,0.4639,1.5956,1.9565e-05,1.9565e-05,1.9565e-05
60,3076,1.07052,0.39936,1.29924,0.95737,0.9595,0.97018,0.61438,1.42572,0.46132,1.5928,1.20575e-05,1.20575e-05,1.20575e-05
